positive,negative,label
41.810,-14.30,1
42.17,-3.39,1
10.580,-3.95,1
29.100,-7.680,1
93.480,-48.300,0
17.260,-6.79,1
27.130,-9.07,0
22.46,-2.01,0
148.260,-67.210,1
62.590,-65.950,0
28.590,-3.52,1
118.360,-81.32,0
7.68,-4.70,0
10.73,-5.15,1
28.590,-12.180,1
43.910,-14.92,1
39.91,-5.42,1
4.70,-0.12,1
36.93,-4.82,1
9.37,-1.78,1
7.810,-1.26,0
11.32,-16.48,0
14.60,-5.40,1
57.130,-39.270,0
95.42,-45.480,0
255.230,-186.070,0
143.470,-69.760,0
32.720,-13.64,1
9.36,-7.48,0
99.900,-87.160,0
22.81,-24.31,0
9.320,-6.740,0
31.680,-34.43,0
23.27,-13.18,0
5.76,-1.97,0
28.240,-29.950,0
27.46,-24.88,0
45.290,-15.28,1
41.43,-35.34,0
44.86,-7.59,1
7.04,-5.24,1
41.15,-10.58,1
12.57,-15.03,0
11.05,-5.340,1
3.68,-5.85,0
14.08,-15.55,1
24.22,-7.49,1
9.31,-11.790,1
34.14,-56.840,0
28.09,-52.96,0
107.780,-58.880,1
5.07,-3.61,1
40.150,-12.680,1
29.130,-19.830,0
8.89,-8.94,1
23.17,-20.210,1
32.14,-14.660,1
20.01,-6.85,0
111.370,-49.220,1
5.06,-1.51,1
38.07,-27.83,1
63.14,-48.450,0
27.910,-12.690,0
113.830,-33.580,1
21.30,-22.070,0
86.730,-34.620,1
5.58,-7.26,0
58.74,-22.15,1
56.67,-10.16,1
7.240,-1.97,1
22.79,-1.89,1
14.00,-1.29,1
15.93,-19.950,0
16.460,-14.520,1
43.770,-9.74,1
17.66,-5.65,0
17.04,-18.500,0
28.15,-16.800,1
32.09,-26.140,0
69.940,-45.880,0
61.80,-18.74,1
9.190,-8.68,0
64.570,-34.530,0
38.38,-11.95,1
15.880,-20.850,0
28.43,-11.88,0
31.280,-20.610,1
9.67,-9.310,1
34.11,-26.33,0
77.100,-17.63,1
38.98,-32.01,0
28.98,-1.91,1
46.210,-42.930,0
25.650,-27.79,0
6.55,-3.72,0
167.27,-75.460,1
12.02,-4.54,1
58.850,-81.870,0
73.650,-47.700,0
6.340,-4.100,0
29.93,-5.45,1
10.32,-1.29,1
39.81,-14.61,0
46.32,-21.300,0
11.94,-6.07,1
71.25,-59.070,1
49.450,-50.130,0
54.68,-20.25,1
0.98,0,1
104.170,-42.360,1
0.83,-3.96,0
0.83,-1.21,0
269.670,-151.940,1
14.37,-12.64,0
9.410,-17.05,0
35.140,-13.860,1
6.48,-3.32,0
9.65,-19.630,0
133.56,-48.01,1
49.79,-21.98,1
2.56,-6.16,0
91.640,-38.120,0
9.61,-1.890,1
31.38,-22.60,1
78.000,-44.63,0
11.000,-11.04,0
17.890,-5.970,1
24.96,-6.32,1
2.50,-3.55,0
29.42,-23.54,0
45.640,-16.74,1
8.52,-2.52,1
17.050,-3.52,1
18.54,-4.83,0
27.77,-8.980,1
25.62,-5.63,1
10.74,-4.29,1
51.600,-66.690,0
